ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784891361.5558,19:09:21,2364374631968,21588,0,24037,210,29
1784891361.7559,19:09:21,2364374635524,21588,0,24037,210,29
1784891361.9559,19:09:21,2364374639054,21588,0,24037,210,29
1784891362.1559,19:09:22,2364374642591,21588,0,24037,210,29
1784891362.3559,19:09:22,2364374646128,21588,0,24037,210,29
1784891362.5559,19:09:22,2364374649664,21588,0,24037,210,29
1784891362.7559,19:09:22,2364374653198,21629,0,24037,210,29
1784891362.9559,19:09:22,2364374656731,21629,0,24037,210,29
1784891363.1559,19:09:23,2364374660274,21629,0,24037,210,29
1784891363.3559,19:09:23,2364374663819,21629,0,24037,210,29
1784891363.5559,19:09:23,2364374667352,21629,0,24037,210,29
1784891363.7559,19:09:23,2364374670896,21666,0,24037,210,29
1784891363.9559,19:09:23,2364374674418,21666,0,24037,210,29
1784891364.1559,19:09:24,2364374677941,21666,0,24037,210,29
1784891364.3559,19:09:24,2364374681472,21666,0,24037,210,29
1784891364.5559,19:09:24,2364374685002,21666,0,24037,210,29
1784891364.7559,19:09:24,2364374688544,21682,0,24037,210,28
1784891364.9559,19:09:24,2364374692063,21682,0,24037,210,28
1784891365.1559,19:09:25,2364374695565,21682,0,24037,210,28
1784891365.3559,19:09:25,2364374699101,21682,0,24037,210,28
1784891365.5559,19:09:25,2364374702590,21682,0,24037,210,28
1784891365.7559,19:09:25,2364374706050,21662,0,24037,210,28
1784891365.9559,19:09:25,2364374709519,21662,0,24037,210,28
1784891366.1559,19:09:26,2364374713030,21662,0,24037,210,28
1784891366.3559,19:09:26,2364374716532,21662,0,24037,210,28
1784891366.5559,19:09:26,2364374720032,21662,0,24037,210,28
1784891366.7559,19:09:26,2364374723566,21566,0,24037,210,28
1784891366.9559,19:09:26,2364374727063,21566,0,24037,210,28
1784891367.1559,19:09:27,2364374730556,21566,0,24037,210,28
1784891367.3559,19:09:27,2364374734038,21566,0,24037,210,28
1784891367.5559,19:09:27,2364374737531,21566,0,24037,210,28
1784891367.7559,19:09:27,2364374741040,21553,0,24037,210,28
