ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784899006.8858,21:16:46,2364570686123,21623,0,24035,210,29
1784899007.0859,21:16:47,2364570688795,21623,0,24035,210,29
1784899007.2859,21:16:47,2364570691442,21623,0,24035,210,29
1784899007.4859,21:16:47,2364570694095,21623,0,24035,210,29
1784899007.6859,21:16:47,2364570696769,21623,0,24035,210,29
1784899007.8859,21:16:47,2364570699904,21623,0,24035,210,29
1784899008.0859,21:16:48,2364570702543,21739,0,24035,210,29
1784899008.2859,21:16:48,2364570705173,21739,0,24035,210,29
1784899008.4859,21:16:48,2364570707833,21739,0,24035,210,29
1784899008.6859,21:16:48,2364570710493,21739,0,24035,210,29
1784899008.8859,21:16:48,2364570713587,21739,0,24035,210,29
1784899009.0859,21:16:49,2364570716236,21768,0,24035,210,29
1784899009.2859,21:16:49,2364570718890,21768,0,24035,210,29
1784899009.4859,21:16:49,2364570721550,21768,0,24035,210,29
1784899009.6859,21:16:49,2364570724184,21768,0,24035,210,29
1784899009.8859,21:16:49,2364570727278,21768,0,24035,210,29
1784899010.0859,21:16:50,2364570729914,21753,0,24035,210,29
1784899010.2859,21:16:50,2364570732498,21753,0,24035,210,29
1784899010.4859,21:16:50,2364570735131,21753,0,24035,210,29
1784899010.6859,21:16:50,2364570737759,21753,0,24035,210,29
1784899010.8858,21:16:50,2364570740843,21753,0,24035,210,29
1784899011.0859,21:16:51,2364570743481,21727,0,24035,210,29
1784899011.2858,21:16:51,2364570746120,21727,0,24035,210,29
1784899011.4859,21:16:51,2364570748762,21727,0,24035,210,29
1784899011.6859,21:16:51,2364570751400,21727,0,24035,210,29
1784899011.8859,21:16:51,2364570754479,21727,0,24035,210,29
1784899012.0859,21:16:52,2364570757102,21746,0,24035,210,29
1784899012.2859,21:16:52,2364570759730,21746,0,24035,210,29
1784899012.4859,21:16:52,2364570762368,21746,0,24035,210,29
1784899012.6858,21:16:52,2364570764990,21746,0,24035,210,29
1784899012.8858,21:16:52,2364570768108,21746,0,24035,210,29
1784899013.0858,21:16:53,2364570770731,21784,0,24035,210,29
1784899013.2859,21:16:53,2364570773345,21784,0,24035,210,29
1784899013.4859,21:16:53,2364570775969,21784,0,24035,210,29
1784899013.6858,21:16:53,2364570778594,21784,0,24035,210,29
1784899013.8858,21:16:53,2364570781656,21784,0,24035,210,29
1784899014.0859,21:16:54,2364570784260,21790,0,24035,210,29
1784899014.2859,21:16:54,2364570786854,21790,0,24035,210,29
1784899014.4859,21:16:54,2364570789462,21790,0,24035,210,29
1784899014.6859,21:16:54,2364570792071,21790,0,24035,210,29
1784899014.8858,21:16:54,2364570795134,21790,0,24035,210,29
1784899015.0859,21:16:55,2364570797721,21720,0,24035,210,29
1784899015.2859,21:16:55,2364570800244,21720,0,24035,210,29
1784899015.4859,21:16:55,2364570802848,21720,0,24035,210,29
1784899015.6859,21:16:55,2364570805458,21720,0,24035,210,29
1784899015.8859,21:16:55,2364570808524,21720,0,24035,210,29
1784899016.0859,21:16:56,2364570811122,21651,0,24035,210,29
1784899016.2859,21:16:56,2364570813712,21651,0,24035,210,29
1784899016.4859,21:16:56,2364570816319,21651,0,24035,210,29
1784899016.6859,21:16:56,2364570818931,21651,0,24035,210,29
1784899016.8858,21:16:56,2364570821995,21651,0,24035,210,29
1784899017.0859,21:16:57,2364570824602,21699,0,24035,210,28
1784899017.2859,21:16:57,2364570827187,21699,0,24035,210,28
1784899017.4859,21:16:57,2364570829780,21699,0,24035,210,28
1784899017.6859,21:16:57,2364570832393,21699,0,24035,210,28
1784899017.8859,21:16:57,2364570835460,21699,0,24035,210,28
1784899018.0859,21:16:58,2364570838085,21773,0,24035,210,28
1784899018.2859,21:16:58,2364570840681,21773,0,24035,210,28
1784899018.4859,21:16:58,2364570843292,21773,0,24035,210,28
1784899018.6859,21:16:58,2364570845885,21773,0,24035,210,28
1784899018.8859,21:16:58,2364570848939,21773,0,24035,210,28
1784899019.0859,21:16:59,2364570851514,21850,0,24035,210,28
1784899019.2859,21:16:59,2364570854084,21850,0,24035,210,28
1784899019.4859,21:16:59,2364570856656,21850,0,24035,210,28
1784899019.6859,21:16:59,2364570859224,21850,0,24035,210,28
1784899019.8859,21:16:59,2364570862262,21850,0,24035,210,28
1784899020.0859,21:17:00,2364570864841,21802,0,24035,210,28
1784899020.2859,21:17:00,2364570867386,21802,0,24035,210,28
1784899020.4859,21:17:00,2364570869958,21802,0,24035,210,28
1784899020.6859,21:17:00,2364570872551,21802,0,24035,210,28
1784899020.8859,21:17:00,2364570875625,21802,0,24035,210,28
1784899021.0859,21:17:01,2364570878202,21754,0,24035,210,28
1784899021.2858,21:17:01,2364570880768,21754,0,24035,210,28
1784899021.4859,21:17:01,2364570883341,21754,0,24035,210,28
1784899021.6859,21:17:01,2364570885932,21754,0,24035,210,28
1784899021.8859,21:17:01,2364570888964,21754,0,24035,210,28
1784899022.0859,21:17:02,2364570891519,21845,0,24035,210,28
1784899022.2859,21:17:02,2364570894082,21845,0,24035,210,28
1784899022.4859,21:17:02,2364570896667,21845,0,24035,210,28
1784899022.6858,21:17:02,2364570899240,21845,0,24035,210,28
1784899022.8859,21:17:02,2364570902268,21845,0,24035,210,28
1784899023.0859,21:17:03,2364570904827,21851,0,24035,210,28
1784899023.2859,21:17:03,2364570907371,21851,0,24035,210,28
1784899023.4859,21:17:03,2364570909946,21851,0,24035,210,28
1784899023.6859,21:17:03,2364570912477,21851,0,24035,210,28
1784899023.8859,21:17:03,2364570915470,21851,0,24035,210,28
1784899024.0859,21:17:04,2364570918000,21787,0,24035,210,28
1784899024.2859,21:17:04,2364570920544,21787,0,24035,210,28
1784899024.4859,21:17:04,2364570923086,21787,0,24035,210,28
1784899024.6859,21:17:04,2364570925612,21787,0,24035,210,28
1784899024.8859,21:17:04,2364570928596,21787,0,24035,210,28
1784899025.0859,21:17:05,2364570931120,21698,0,24035,210,28
1784899025.2859,21:17:05,2364570933658,21698,0,24035,210,28
1784899025.4859,21:17:05,2364570936200,21698,0,24035,210,28
1784899025.6859,21:17:05,2364570938731,21698,0,24035,210,28
1784899025.8859,21:17:05,2364570941727,21698,0,24035,210,28
1784899026.0859,21:17:06,2364570944255,21651,0,24035,210,28
1784899026.2869,21:17:06,2364570946788,21651,0,24035,210,28
1784899026.4859,21:17:06,2364570949295,21651,0,24035,210,28
1784899026.6859,21:17:06,2364570951832,21651,0,24035,210,28
1784899026.8859,21:17:06,2364570954823,21651,0,24035,210,28
1784899027.0859,21:17:07,2364570957372,21696,0,24035,210,28
1784899027.2859,21:17:07,2364570959906,21696,0,24035,210,28
1784899027.4859,21:17:07,2364570962434,21696,0,24035,210,28
1784899027.6859,21:17:07,2364570964983,21696,0,24035,210,28
1784899027.8859,21:17:07,2364570967991,21696,0,24035,210,28
1784899028.0859,21:17:08,2364570970519,21772,0,24035,210,28
1784899028.2859,21:17:08,2364570973026,21772,0,24035,210,28
1784899028.4859,21:17:08,2364570975527,21772,0,24035,210,28
1784899028.6859,21:17:08,2364570978044,21772,0,24035,210,28
1784899028.8859,21:17:08,2364570981012,21772,0,24035,210,28
1784899029.0859,21:17:09,2364570983502,21775,0,24035,210,28
1784899029.2859,21:17:09,2364570986005,21775,0,24035,210,28
1784899029.4859,21:17:09,2364570988515,21775,0,24035,210,28
1784899029.6859,21:17:09,2364570991036,21775,0,24035,210,28
1784899029.8859,21:17:09,2364570993977,21775,0,24035,210,28
1784899030.0859,21:17:10,2364570996458,21709,0,24035,210,28
1784899030.2859,21:17:10,2364570998947,21709,0,24035,210,28
1784899030.4859,21:17:10,2364571001422,21709,0,24035,210,28
1784899030.6859,21:17:10,2364571003917,21709,0,24035,210,28
1784899030.8859,21:17:10,2364571006862,21709,0,24035,210,28
1784899031.0859,21:17:11,2364571009355,21603,0,24035,210,28
1784899031.2859,21:17:11,2364571011843,21603,0,24035,210,28
1784899031.4859,21:17:11,2364571014315,21603,0,24035,210,28
1784899031.6859,21:17:11,2364571016800,21603,0,24035,210,28
1784899031.8859,21:17:11,2364571019726,21603,0,24035,210,28
1784899032.0859,21:17:12,2364571022211,21530,0,24035,210,28
1784899032.2859,21:17:12,2364571024678,21530,0,24035,210,28
1784899032.4859,21:17:12,2364571027174,21530,0,24035,210,28
1784899032.6859,21:17:12,2364571029665,21530,0,24035,210,28
1784899032.8859,21:17:12,2364571032622,21530,0,24035,210,28
1784899033.0859,21:17:13,2364571035106,21572,0,24035,210,28
1784899033.2859,21:17:13,2364571037605,21572,0,24035,210,28
1784899033.4859,21:17:13,2364571040104,21572,0,24035,210,28
1784899033.6859,21:17:13,2364571042580,21572,0,24035,210,28
1784899033.8859,21:17:13,2364571045519,21572,0,24035,210,28
1784899034.0859,21:17:14,2364571048014,21680,0,24035,210,28
1784899034.2858,21:17:14,2364571050504,21680,0,24035,210,28
1784899034.4858,21:17:14,2364571052968,21680,0,24035,210,28
1784899034.6859,21:17:14,2364571055441,21680,0,24035,210,28
1784899034.8859,21:17:14,2364571058372,21680,0,24035,210,28
1784899035.0859,21:17:15,2364571060855,21742,0,24035,210,28
1784899035.2859,21:17:15,2364571063289,21742,0,24035,210,28
1784899035.4859,21:17:15,2364571065760,21742,0,24035,210,28
1784899035.6859,21:17:15,2364571068229,21742,0,24035,210,28
1784899035.8859,21:17:15,2364571071174,21742,0,24035,210,28
1784899036.0859,21:17:16,2364571073683,21707,0,24035,210,28
1784899036.2859,21:17:16,2364571076162,21707,0,24035,210,28
1784899036.4859,21:17:16,2364571078655,21707,0,24035,210,28
1784899036.6859,21:17:16,2364571081126,21707,0,24035,210,28
1784899036.8859,21:17:16,2364571084074,21707,0,24035,210,28
1784899037.0859,21:17:17,2364571086570,21800,0,24035,210,28
1784899037.2859,21:17:17,2364571089046,21800,0,24035,210,28
1784899037.4859,21:17:17,2364571091524,21800,0,24035,210,28
1784899037.6859,21:17:17,2364571094011,21800,0,24035,210,28
1784899037.8859,21:17:17,2364571096964,21800,0,24035,210,28
1784899038.0859,21:17:18,2364571099450,21911,0,24035,210,28
1784899038.2859,21:17:18,2364571101933,21911,0,24035,210,28
1784899038.4859,21:17:18,2364571104404,21911,0,24035,210,28
1784899038.6859,21:17:18,2364571106887,21911,0,24035,210,28
1784899038.8859,21:17:18,2364571109828,21911,0,24035,210,28
1784899039.0859,21:17:19,2364571112298,21958,0,24035,210,28
1784899039.2859,21:17:19,2364571114736,21958,0,24035,210,28
1784899039.4859,21:17:19,2364571117169,21958,0,24035,210,28
1784899039.6859,21:17:19,2364571119619,21958,0,24035,210,28
1784899039.8859,21:17:19,2364571122525,21958,0,24035,210,28
1784899040.0859,21:17:20,2364571124978,21895,0,24035,210,28
1784899040.2859,21:17:20,2364571127412,21895,0,24035,210,28
1784899040.4859,21:17:20,2364571129835,21895,0,24035,210,28
1784899040.6859,21:17:20,2364571132256,21895,0,24035,210,28
1784899040.8859,21:17:20,2364571135150,21895,0,24035,210,28
1784899041.0859,21:17:21,2364571137562,21722,0,24035,210,28
1784899041.2859,21:17:21,2364571139974,21722,0,24035,210,28
1784899041.4859,21:17:21,2364571142406,21722,0,24035,210,28
1784899041.6859,21:17:21,2364571144833,21722,0,24035,210,28
1784899041.8859,21:17:21,2364571147707,21722,0,24035,210,28
1784899042.0859,21:17:22,2364571150121,21629,0,24035,210,28
1784899042.2859,21:17:22,2364571152556,21629,0,24035,210,28
1784899042.4859,21:17:22,2364571154982,21629,0,24035,210,28
1784899042.6859,21:17:22,2364571157421,21629,0,24035,210,28
1784899042.8859,21:17:22,2364571160310,21629,0,24035,210,28
1784899043.0859,21:17:23,2364571162737,21649,0,24035,210,27
1784899043.2859,21:17:23,2364571165177,21649,0,24035,210,27
1784899043.4859,21:17:23,2364571167598,21649,0,24035,210,27
1784899043.6859,21:17:23,2364571170016,21649,0,24035,210,27
1784899043.8859,21:17:23,2364571172908,21649,0,24035,210,27
1784899044.0858,21:17:24,2364571175345,21721,0,24035,210,27
1784899044.2859,21:17:24,2364571177764,21721,0,24035,210,27
1784899044.4859,21:17:24,2364571180179,21721,0,24035,210,27
1784899044.6859,21:17:24,2364571182587,21721,0,24035,210,27
1784899044.8859,21:17:24,2364571185473,21721,0,24035,210,27
1784899045.0859,21:17:25,2364571187891,21764,0,24035,210,27
1784899045.2859,21:17:25,2364571190318,21764,0,24035,210,27
1784899045.4859,21:17:25,2364571192738,21764,0,24035,210,27
1784899045.6859,21:17:25,2364571195150,21764,0,24035,210,27
1784899045.8859,21:17:25,2364571198001,21764,0,24035,210,27
1784899046.0859,21:17:26,2364571200393,21810,0,24035,210,27
1784899046.2859,21:17:26,2364571202783,21810,0,24035,210,27
1784899046.4859,21:17:26,2364571205190,21810,0,24035,210,27
1784899046.6859,21:17:26,2364571207602,21810,0,24035,210,27
1784899046.8859,21:17:26,2364571210476,21810,0,24035,210,27
1784899047.0859,21:17:27,2364571212870,21770,0,24035,210,27
1784899047.2859,21:17:27,2364571215277,21770,0,24035,210,27
1784899047.4859,21:17:27,2364571217689,21770,0,24035,210,27
1784899047.6859,21:17:27,2364571220094,21770,0,24035,210,27
1784899047.8859,21:17:27,2364571222969,21770,0,24035,210,27
1784899048.0859,21:17:28,2364571225360,21749,0,24035,210,27
1784899048.2859,21:17:28,2364571227736,21749,0,24035,210,27
1784899048.4859,21:17:28,2364571230107,21749,0,24035,210,27
1784899048.6861,21:17:28,2364571232497,21749,0,24035,210,27
1784899048.8859,21:17:28,2364571235335,21749,0,24035,210,27
1784899049.0859,21:17:29,2364571237726,21747,0,24035,210,27
1784899049.2859,21:17:29,2364571240120,21747,0,24035,210,27
1784899049.4859,21:17:29,2364571242515,21747,0,24035,210,27
1784899049.6859,21:17:29,2364571244920,21747,0,24035,210,27
1784899049.8859,21:17:29,2364571247806,21747,0,24035,210,27
1784899050.0859,21:17:30,2364571250202,21760,0,24035,210,27
1784899050.2859,21:17:30,2364571252573,21760,0,24035,210,27
1784899050.4859,21:17:30,2364571254970,21760,0,24035,210,27
1784899050.6859,21:17:30,2364571257398,21760,0,24035,210,27
1784899050.8859,21:17:30,2364571260297,21760,0,24035,210,27
1784899051.0859,21:17:31,2364571262696,21915,0,24035,210,27
1784899051.2859,21:17:31,2364571265098,21915,0,24035,210,27
1784899051.4859,21:17:31,2364571267481,21915,0,24035,210,27
1784899051.6859,21:17:31,2364571269889,21915,0,24035,210,27
1784899051.8859,21:17:31,2364571272725,21915,0,24035,210,27
1784899052.0859,21:17:32,2364571275102,22030,0,24035,210,27
1784899052.2859,21:17:32,2364571277463,22030,0,24035,210,27
1784899052.4859,21:17:32,2364571279842,22030,0,24035,210,27
1784899052.6859,21:17:32,2364571282187,22030,0,24035,210,27
1784899052.8859,21:17:32,2364571285015,22030,0,24035,210,27
1784899053.0859,21:17:33,2364571287380,21920,0,24035,210,27
1784899053.2859,21:17:33,2364571289740,21920,0,24035,210,27
1784899053.4859,21:17:33,2364571292112,21920,0,24035,210,27
1784899053.6859,21:17:33,2364571294490,21920,0,24035,210,27
1784899053.8859,21:17:33,2364571297316,21920,0,24035,210,27
1784899054.0859,21:17:34,2364571299681,21807,0,24035,210,27
1784899054.2859,21:17:34,2364571302048,21807,0,24035,210,27
1784899054.4859,21:17:34,2364571304411,21807,0,24035,210,27
1784899054.6859,21:17:34,2364571306767,21807,0,24035,210,27
1784899054.8859,21:17:34,2364571309588,21807,0,24035,210,27
1784899055.0859,21:17:35,2364571311950,21826,0,24035,210,27
1784899055.2859,21:17:35,2364571314319,21826,0,24035,210,27
1784899055.4859,21:17:35,2364571316696,21826,0,24035,210,27
1784899055.6859,21:17:35,2364571319041,21826,0,24035,210,27
1784899055.8859,21:17:35,2364571321863,21826,0,24035,210,27
1784899056.0859,21:17:36,2364571324233,21854,0,24037,210,27
1784899056.2859,21:17:36,2364571355868,21854,0,24037,210,27
1784899056.4859,21:17:36,2364571423717,21854,0,24037,210,27
1784899056.6859,21:17:36,2364571500388,95454,0,24037,2745,42
1784899056.8859,21:17:36,2364571576179,95454,0,24037,2745,42
1784899057.0859,21:17:37,2364571647302,257492,100,24037,2745,45
1784899057.2859,21:17:37,2364571708931,257492,100,24037,2745,45
1784899057.4859,21:17:37,2364571766807,257492,100,24037,2745,45
1784899057.6859,21:17:37,2364571824015,366569,100,24037,2745,40
1784899057.8859,21:17:37,2364571881213,366569,100,24037,2745,40
1784899058.0859,21:17:38,2364571938479,319074,100,24037,2745,40
1784899058.2858,21:17:38,2364571990981,319074,100,24037,2745,40
1784899058.4859,21:17:38,2364572043536,319074,100,24037,2745,40
1784899058.6859,21:17:38,2364572095632,299086,100,24037,2745,39
1784899058.8859,21:17:38,2364572147507,299086,100,24037,2745,39
1784899059.0859,21:17:39,2364572199336,286134,100,24037,2745,39
1784899059.2859,21:17:39,2364572250764,286134,100,24037,2745,39
1784899059.4859,21:17:39,2364572302315,286134,100,24037,2745,39
1784899059.6859,21:17:39,2364572353908,281956,100,24037,2745,40
1784899059.8859,21:17:39,2364572404444,281956,100,24037,2745,40
1784899060.0859,21:17:40,2364572481063,278359,100,24037,2745,39
1784899060.2859,21:17:40,2364572507744,278359,100,24037,2745,39
1784899060.4859,21:17:40,2364572557194,278359,100,24037,2745,39
1784899060.6859,21:17:40,2364572606618,273424,100,24037,2745,39
1784899060.8859,21:17:40,2364572656015,273424,100,24037,2745,39
1784899061.0859,21:17:41,2364572732444,270240,100,24037,2745,40
1784899061.2859,21:17:41,2364572759357,270240,100,24037,2745,40
1784899061.4859,21:17:41,2364572808629,270240,100,24037,2745,40
1784899061.6859,21:17:41,2364572884161,269957,100,24037,2745,40
1784899061.8859,21:17:41,2364572936916,269957,100,24037,2745,40
1784899062.0859,21:17:42,2364572989681,267628,100,24037,2745,40
1784899062.2859,21:17:42,2364573042399,267628,100,24037,2745,40
1784899062.4859,21:17:42,2364573095075,267628,100,24037,2745,40
1784899062.6859,21:17:42,2364573147733,265077,100,24037,2745,40
1784899062.8859,21:17:42,2364573200283,265077,100,24037,2745,40
1784899063.0859,21:17:43,2364573252494,263938,100,24037,2745,40
1784899063.2859,21:17:43,2364573304417,263938,100,24037,2745,40
1784899063.4859,21:17:43,2364573356363,263938,100,24037,2745,40
1784899063.6859,21:17:43,2364573408314,262029,100,24037,2745,40
