ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784725247.2918,21:00:47,717607255467,14049,0,24039,210,33
1784725247.4919,21:00:47,717607257933,14049,0,24039,210,33
1784725247.6919,21:00:47,717607259502,14049,0,24039,210,33
1784725247.8919,21:00:47,717607261093,14049,0,24039,210,33
1784725248.0919,21:00:48,717607262679,14049,0,24039,210,33
1784725248.2919,21:00:48,717607264288,14049,0,24039,210,33
1784725248.4919,21:00:48,717607266677,14169,0,24039,210,33
1784725248.6919,21:00:48,717607268254,14169,0,24039,210,33
1784725248.8919,21:00:48,717607269838,14169,0,24039,210,33
1784725249.0919,21:00:49,717607271453,14169,0,24039,210,33
1784725249.2919,21:00:49,717607273026,14169,0,24039,210,33
1784725249.4919,21:00:49,717607275424,14257,0,24039,210,33
1784725249.6919,21:00:49,717607276957,14257,0,24039,210,33
1784725249.8919,21:00:49,717607278515,14257,0,24039,210,33
1784725250.0919,21:00:50,717607280088,14257,0,24039,210,33
1784725250.2919,21:00:50,717607281543,14257,0,24039,210,33
1784725250.4919,21:00:50,717607283910,14131,0,24039,210,33
1784725250.6919,21:00:50,717607285413,14131,0,24039,210,33
1784725250.8919,21:00:50,717607286994,14131,0,24039,210,33
1784725251.0919,21:00:51,717607288570,14131,0,24039,210,33
1784725251.2919,21:00:51,717607290154,14131,0,24039,210,33
1784725251.4919,21:00:51,717607292565,14040,0,24039,210,33
1784725251.6919,21:00:51,717607294148,14040,0,24039,210,33
1784725251.8919,21:00:51,717607295731,14040,0,24039,210,33
1784725252.0919,21:00:52,717607297295,14040,0,24039,210,33
1784725252.2919,21:00:52,717607298888,14040,0,24039,210,33
1784725252.4919,21:00:52,717607301384,14328,0,24039,210,33
1784725252.6919,21:00:52,717607302960,14328,0,24039,210,33
1784725252.8919,21:00:52,717607304563,14328,0,24039,210,33
1784725253.0919,21:00:53,717607306159,14328,0,24039,210,33
1784725253.2919,21:00:53,717607307715,14328,0,24039,210,33
1784725253.4919,21:00:53,717607310200,14668,0,24039,210,33
1784725253.6919,21:00:53,717607311743,14668,0,24039,210,33
1784725253.8919,21:00:53,717607313338,14668,0,24039,210,33
1784725254.0919,21:00:54,717607314837,14668,0,24039,210,33
1784725254.2919,21:00:54,717607316420,14668,0,24039,210,33
1784725254.4919,21:00:54,717607318838,14652,0,24039,210,33
1784725254.6919,21:00:54,717607320367,14652,0,24039,210,33
1784725254.8919,21:00:54,717607321927,14652,0,24039,210,33
1784725255.0919,21:00:55,717607323425,14652,0,24039,210,33
1784725255.2919,21:00:55,717607324974,14652,0,24039,210,33
1784725255.4919,21:00:55,717607327377,14499,0,24039,210,33
1784725255.6919,21:00:55,717607328894,14499,0,24039,210,33
1784725255.8919,21:00:55,717607330410,14499,0,24039,210,33
1784725256.0919,21:00:56,717607331937,14499,0,24039,210,33
1784725256.2919,21:00:56,717607333447,14499,0,24039,210,33
1784725256.4919,21:00:56,717607335829,14452,0,24039,210,33
1784725256.6919,21:00:56,717607337339,14452,0,24039,210,33
1784725256.8919,21:00:56,717607338849,14452,0,24039,210,33
1784725257.0919,21:00:57,717607340334,14452,0,24039,210,33
1784725257.2919,21:00:57,717607341824,14452,0,24039,210,33
1784725257.4919,21:00:57,717607344243,14366,0,24039,210,33
1784725257.6919,21:00:57,717607345801,14366,0,24039,210,33
1784725257.8922,21:00:57,717607347344,14366,0,24039,210,33
1784725258.0919,21:00:58,717607348865,14366,0,24039,210,33
1784725258.2919,21:00:58,717607350352,14366,0,24039,210,33
1784725258.4919,21:00:58,717607352730,14531,0,24039,210,33
1784725258.6919,21:00:58,717607354205,14531,0,24039,210,33
1784725258.8919,21:00:58,717607355622,14531,0,24039,210,33
1784725259.0919,21:00:59,717607357029,14531,0,24039,210,33
1784725259.2919,21:00:59,717607358575,14531,0,24039,210,33
1784725259.4919,21:00:59,717607362386,14468,0,24039,210,33
1784725259.6919,21:00:59,717607365155,14468,0,24039,210,33
1784725259.8919,21:00:59,717607367826,14468,0,24039,210,33
1784725260.0919,21:01:00,717607370530,14468,0,24039,210,33
1784725260.2919,21:01:00,717607373238,14468,0,24039,210,33
1784725260.4919,21:01:00,717607376089,14010,0,24039,210,33
1784725260.6920,21:01:00,717607378965,14010,0,24039,210,33
1784725260.8919,21:01:00,717607381819,14010,0,24039,210,33
1784725261.0919,21:01:01,717607384662,14010,0,24039,210,33
1784725261.2919,21:01:01,717607387586,14010,0,24039,210,33
1784725261.4919,21:01:01,717607390429,14116,0,24039,210,33
1784725261.6919,21:01:01,717607393341,14116,0,24039,210,33
1784725261.8919,21:01:01,717607396284,14116,0,24039,210,33
1784725262.0919,21:01:02,717607399129,14116,0,24039,210,33
1784725262.2919,21:01:02,717607401930,14116,0,24039,210,33
1784725262.4919,21:01:02,717607404682,14435,0,24039,210,33
1784725262.6919,21:01:02,717607407481,14435,0,24039,210,33
1784725262.8919,21:01:02,717607410518,14435,0,24039,210,33
1784725263.0919,21:01:03,717607413550,14435,0,24039,210,33
1784725263.2919,21:01:03,717607416519,14435,0,24039,210,33
1784725263.4919,21:01:03,717607419427,14611,0,24039,210,33
1784725263.6919,21:01:03,717607422360,14611,0,24039,210,33
1784725263.8919,21:01:03,717607425233,14611,0,24039,210,33
1784725264.0919,21:01:04,717607428117,14611,0,24039,210,33
1784725264.2919,21:01:04,717607430913,14611,0,24039,210,33
1784725264.4919,21:01:04,717607433740,14720,0,24039,210,33
1784725264.6919,21:01:04,717607436629,14720,0,24039,210,33
1784725264.8919,21:01:04,717607439451,14720,0,24039,210,33
1784725265.0919,21:01:05,717607442379,14720,0,24039,210,33
1784725265.2920,21:01:05,717607445269,14720,0,24039,210,33
1784725265.4919,21:01:05,717607448207,14707,0,24039,210,33
1784725265.6919,21:01:05,717607451009,14707,0,24039,210,33
1784725265.8919,21:01:05,717607453803,14707,0,24039,210,33
1784725266.0919,21:01:06,717607456667,14707,0,24039,210,33
1784725266.2919,21:01:06,717607459571,14707,0,24039,210,33
1784725266.4919,21:01:06,717607462443,14710,0,24039,210,33
1784725266.6919,21:01:06,717607465241,14710,0,24039,210,33
1784725266.8919,21:01:06,717607467987,14710,0,24039,210,33
1784725267.0919,21:01:07,717607470767,14710,0,24039,210,33
1784725267.2919,21:01:07,717607473604,14710,0,24039,210,33
1784725267.4919,21:01:07,717607476488,14620,0,24039,210,33
1784725267.6919,21:01:07,717607479337,14620,0,24039,210,33
1784725267.8919,21:01:07,717607482207,14620,0,24039,210,33
1784725268.0919,21:01:08,717607485063,14620,0,24039,210,33
1784725268.2919,21:01:08,717607487922,14620,0,24039,210,33
1784725268.4919,21:01:08,717607490715,14665,0,24039,210,33
1784725268.6919,21:01:08,717607493513,14665,0,24039,210,33
1784725268.8919,21:01:08,717607496334,14665,0,24039,210,33
1784725269.0919,21:01:09,717607499101,14665,0,24039,210,33
1784725269.2919,21:01:09,717607501677,14665,0,24039,210,33
1784725269.4919,21:01:09,717607504185,14627,0,24039,210,33
1784725269.6919,21:01:09,717607506951,14627,0,24039,210,33
1784725269.8919,21:01:09,717607509749,14627,0,24039,210,33
1784725270.0919,21:01:10,717607512587,14627,0,24039,210,33
1784725270.2919,21:01:10,717607515349,14627,0,24039,210,33
1784725270.4919,21:01:10,717607518151,14270,0,24039,210,33
1784725270.6919,21:01:10,717607521018,14270,0,24039,210,33
1784725270.8919,21:01:10,717607523819,14270,0,24039,210,33
1784725271.0919,21:01:11,717607526567,14270,0,24039,210,33
1784725271.2919,21:01:11,717607529339,14270,0,24039,210,33
1784725271.4919,21:01:11,717607532056,14399,0,24039,210,33
1784725271.6919,21:01:11,717607534755,14399,0,24039,210,33
1784725271.8919,21:01:11,717607537500,14399,0,24039,210,33
1784725272.0919,21:01:12,717607540152,14399,0,24039,210,33
1784725272.2919,21:01:12,717607542698,14399,0,24039,210,33
1784725272.4919,21:01:12,717607545172,14425,0,24039,210,33
1784725272.6919,21:01:12,717607547645,14425,0,24039,210,33
1784725272.8919,21:01:12,717607550132,14425,0,24039,210,33
1784725273.0919,21:01:13,717607552624,14425,0,24039,210,33
1784725273.2919,21:01:13,717607555219,14425,0,24039,210,33
1784725273.4919,21:01:13,717607557897,13666,0,24039,210,33
1784725273.6919,21:01:13,717607560587,13666,0,24039,210,33
1784725273.8919,21:01:13,717607563313,13666,0,24039,210,33
1784725274.0919,21:01:14,717607566025,13666,0,24039,210,33
1784725274.2919,21:01:14,717607568754,13666,0,24039,210,33
1784725274.4919,21:01:14,717607571454,13771,0,24039,210,33
1784725274.6919,21:01:14,717607574209,13771,0,24039,210,33
1784725274.8919,21:01:14,717607576949,13771,0,24039,210,33
1784725275.0919,21:01:15,717607579632,13771,0,24039,210,33
1784725275.2919,21:01:15,717607582302,13771,0,24039,210,33
1784725275.4919,21:01:15,717607584768,14418,0,24039,210,33
1784725275.6919,21:01:15,717607587120,14418,0,24039,210,33
1784725275.8919,21:01:15,717607589481,14418,0,24039,210,33
1784725276.0919,21:01:16,717607591873,14418,0,24039,210,33
1784725276.2919,21:01:16,717607594240,14418,0,24039,210,33
1784725276.4919,21:01:16,717607596630,13693,0,24039,210,33
1784725276.6919,21:01:16,717607599053,13693,0,24039,210,33
1784725276.8919,21:01:16,717607601414,13693,0,24039,210,33
1784725277.0919,21:01:17,717607603743,13693,0,24039,210,33
1784725277.2919,21:01:17,717607606104,13693,0,24039,210,33
1784725277.4919,21:01:17,717607608424,12836,0,24039,210,33
1784725277.6919,21:01:17,717607610746,12836,0,24039,210,33
1784725277.8919,21:01:17,717607613023,12836,0,24039,210,33
1784725278.0919,21:01:18,717607615305,12836,0,24039,210,33
1784725278.2919,21:01:18,717607617610,12836,0,24039,210,33
1784725278.4919,21:01:18,717607619909,12597,0,24039,210,33
1784725278.6919,21:01:18,717607622214,12597,0,24039,210,33
1784725278.8919,21:01:18,717607624554,12597,0,24039,210,33
1784725279.0919,21:01:19,717607626876,12597,0,24039,210,33
1784725279.2919,21:01:19,717607629194,12597,0,24039,210,33
1784725279.4919,21:01:19,717607631524,12499,0,24039,210,33
1784725279.6919,21:01:19,717607633860,12499,0,24039,210,33
1784725279.8919,21:01:19,717607636202,12499,0,24039,210,33
