ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784646110.7086,23:01:50,1055751804086,10749,0,24039,210,31
1784646110.9087,23:01:50,1055751806182,10749,0,24039,210,31
1784646111.1087,23:01:51,1055751808234,10749,0,24039,210,31
1784646111.3087,23:01:51,1055751810300,10749,0,24039,210,31
1784646111.5087,23:01:51,1055751812390,10749,0,24039,210,31
1784646111.7087,23:01:51,1055751814531,10749,0,24039,210,31
1784646111.9087,23:01:51,1055751816644,10555,0,24039,210,31
1784646112.1087,23:01:52,1055751818745,10555,0,24039,210,31
1784646112.3087,23:01:52,1055751820840,10555,0,24039,210,31
1784646112.5087,23:01:52,1055751822886,10555,0,24039,210,31
1784646112.7087,23:01:52,1055751824991,10555,0,24039,210,31
1784646112.9087,23:01:52,1055751827070,10549,0,24039,210,31
1784646113.1087,23:01:53,1055751829129,10549,0,24039,210,31
1784646113.3087,23:01:53,1055751831134,10549,0,24039,210,31
1784646113.5087,23:01:53,1055751833180,10549,0,24039,210,31
1784646113.7087,23:01:53,1055751835221,10549,0,24039,210,31
1784646113.9087,23:01:53,1055751837251,10516,0,24039,210,31
1784646114.1087,23:01:54,1055751839324,10516,0,24039,210,31
1784646114.3087,23:01:54,1055751841394,10516,0,24039,210,31
1784646114.5087,23:01:54,1055751843498,10516,0,24039,210,31
1784646114.7087,23:01:54,1055751845580,10516,0,24039,210,31
1784646114.9087,23:01:54,1055751847685,10435,0,24039,210,31
1784646115.1087,23:01:55,1055751849770,10435,0,24039,210,31
1784646115.3087,23:01:55,1055751851856,10435,0,24039,210,31
1784646115.5087,23:01:55,1055751853959,10435,0,24039,210,31
1784646115.7087,23:01:55,1055751856062,10435,0,24039,210,31
1784646115.9087,23:01:55,1055751858158,10539,0,24039,210,31
1784646116.1087,23:01:56,1055751860212,10539,0,24039,210,31
1784646116.3087,23:01:56,1055751862255,10539,0,24039,210,31
1784646116.5087,23:01:56,1055751864248,10539,0,24039,210,31
1784646116.7087,23:01:56,1055751866233,10539,0,24039,210,31
1784646116.9087,23:01:56,1055751868242,10544,0,24039,210,31
1784646117.1087,23:01:57,1055751870241,10544,0,24039,210,31
1784646117.3087,23:01:57,1055751872337,10544,0,24039,210,31
1784646117.5087,23:01:57,1055751874443,10544,0,24039,210,31
1784646117.7087,23:01:57,1055751876478,10544,0,24039,210,31
