ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784727983.8083,21:46:23,717819618759,11916,0,24037,210,32
1784727984.0083,21:46:24,717819620998,11916,0,24037,210,32
1784727984.2083,21:46:24,717819623189,11916,0,24037,210,32
1784727984.4083,21:46:24,717819625345,11916,0,24037,210,32
1784727984.6083,21:46:24,717819627484,11978,0,24037,210,32
1784727984.8083,21:46:24,717819629621,11978,0,24037,210,32
1784727985.0083,21:46:25,717819631755,11978,0,24037,210,32
1784727985.2083,21:46:25,717819633908,11978,0,24037,210,32
1784727985.4083,21:46:25,717819636049,11978,0,24037,210,32
1784727985.6083,21:46:25,717819638179,11911,0,24037,210,32
1784727985.8083,21:46:25,717819640284,11911,0,24037,210,32
1784727986.0083,21:46:26,717819642429,11911,0,24037,210,32
1784727986.2083,21:46:26,717819644566,11911,0,24037,210,32
1784727986.4083,21:46:26,717819646722,11911,0,24037,210,32
1784727986.6083,21:46:26,717819648873,11766,0,24037,210,32
1784727986.8083,21:46:26,717819651028,11766,0,24037,210,32
1784727987.0083,21:46:27,717819653182,11766,0,24037,210,32
1784727987.2083,21:46:27,717819655294,11766,0,24037,210,32
1784727987.4083,21:46:27,717819657415,11766,0,24037,210,32
1784727987.6083,21:46:27,717819659527,11790,0,24037,210,32
1784727987.8083,21:46:27,717819661649,11790,0,24037,210,32
1784727988.0083,21:46:28,717819663771,11790,0,24037,210,32
1784727988.2083,21:46:28,717819665890,11790,0,24037,210,32
1784727988.4083,21:46:28,717819668006,11790,0,24037,210,32
1784727988.6083,21:46:28,717819670124,11771,0,24037,210,32
1784727988.8083,21:46:28,717819672230,11771,0,24037,210,32
1784727989.0083,21:46:29,717819674345,11771,0,24037,210,32
1784727989.2083,21:46:29,717819676441,11771,0,24037,210,32
1784727989.4083,21:46:29,717819678547,11771,0,24037,210,32
1784727989.6083,21:46:29,717819680671,11698,0,24037,210,32
1784727989.8083,21:46:29,717819682794,11698,0,24037,210,32
1784727990.0083,21:46:30,717819684893,11698,0,24037,210,32
1784727990.2083,21:46:30,717819686991,11698,0,24037,210,32
1784727990.4083,21:46:30,717819689083,11698,0,24037,210,32
1784727990.6083,21:46:30,717819691172,11690,0,24037,210,32
1784727990.8083,21:46:30,717819693292,11690,0,24037,210,32
1784727991.0083,21:46:31,717819695453,11690,0,24037,210,32
1784727991.2083,21:46:31,717819697585,11690,0,24037,210,32
1784727991.4083,21:46:31,717819699715,11690,0,24037,210,32
1784727991.6083,21:46:31,717819701843,11743,0,24037,210,32
1784727991.8083,21:46:31,717819703953,11743,0,24037,210,32
1784727992.0083,21:46:32,717819706078,11743,0,24037,210,32
1784727992.2083,21:46:32,717819708200,11743,0,24037,210,32
1784727992.4083,21:46:32,717819710322,11743,0,24037,210,32
1784727992.6083,21:46:32,717819712427,11805,0,24037,210,32
1784727992.8083,21:46:32,717819714531,11805,0,24037,210,32
1784727993.0083,21:46:33,717819716659,11805,0,24037,210,32
1784727993.2083,21:46:33,717819718776,11805,0,24037,210,32
1784727993.4083,21:46:33,717819720880,11805,0,24037,210,32
1784727993.6083,21:46:33,717819722961,11807,0,24037,210,32
1784727993.8083,21:46:33,717819725039,11807,0,24037,210,32
1784727994.0083,21:46:34,717819727133,11807,0,24037,210,32
1784727994.2083,21:46:34,717819729213,11807,0,24037,210,32
1784727994.4083,21:46:34,717819731291,11807,0,24037,210,32
1784727994.6083,21:46:34,717819733366,11722,0,24037,210,32
1784727994.8083,21:46:34,717819735465,11722,0,24037,210,32
1784727995.0083,21:46:35,717819737561,11722,0,24037,210,32
1784727995.2083,21:46:35,717819739662,11722,0,24037,210,32
1784727995.4083,21:46:35,717819741761,11722,0,24037,210,32
1784727995.6083,21:46:35,717819743886,11684,0,24037,210,32
1784727995.8083,21:46:35,717819746005,11684,0,24037,210,32
1784727996.0083,21:46:36,717819748125,11684,0,24037,210,32
1784727996.2083,21:46:36,717819750235,11684,0,24037,210,32
1784727996.4083,21:46:36,717819752336,11684,0,24037,210,32
1784727996.6083,21:46:36,717819754410,11795,0,24037,210,32
1784727996.8083,21:46:36,717819756474,11795,0,24037,210,32
1784727997.0083,21:46:37,717819758532,11795,0,24037,210,32
1784727997.2083,21:46:37,717819760589,11795,0,24037,210,32
1784727997.4083,21:46:37,717819762655,11795,0,24037,210,32
1784727997.6083,21:46:37,717819764731,11743,0,24037,210,32
1784727997.8083,21:46:37,717819766788,11743,0,24037,210,32
1784727998.0083,21:46:38,717819768856,11743,0,24037,210,32
1784727998.2083,21:46:38,717819770915,11743,0,24037,210,32
1784727998.4083,21:46:38,717819772972,11743,0,24037,210,32
1784727998.6083,21:46:38,717819775047,11614,0,24037,210,32
1784727998.8083,21:46:38,717819777109,11614,0,24037,210,32
1784727999.0083,21:46:39,717819779174,11614,0,24037,210,32
1784727999.2083,21:46:39,717819781229,11614,0,24037,210,32
1784727999.4083,21:46:39,717819783303,11614,0,24037,210,32
1784727999.6083,21:46:39,717819785357,11625,0,24037,210,32
1784727999.8083,21:46:39,717819787410,11625,0,24037,210,32
1784728000.0083,21:46:40,717819789465,11625,0,24037,210,32
